processed_text,sentiment,review_length
hotel peux cher fac servic trop bruit nuit caus disco demand pet deuj chambr oubli,Negative,15
jai beaucoup aim cet hôtel accueil tres chaleur personnel a écout particuli mr bibel servic mainten a intervenu dur séjour tres bon technicien gard précieux recommand cet hôtel si souhzit pass bon séjour mr mme tlil,Negative,36
vérit vitrin tunis modern alli modern ident business hotel hôtel d’affair cœur centr vill tun idéal situ quarti d’affair montplais mn celui berg lac …,Negative,25
trop bruit bar nest hôtel destin a séjour professionnel sall bain tres propr tres mauvais odeur serviet bain tres déçu,Negative,20
bjsiness hotel bon hotel centr vill con beaucoup plus soire hivernal rooftop bien organis group invit symp not negat porti a hauteur endroit,Negative,23
comport mafieux réserv suppr réserv quelqu heur apres arriv lhotel pend voyag lavion,Negative,13
jy allé mang bon ambianc peut fum lintérieur cest peu plus cher dautr restaur tun,Negative,15
lieu sympath tranquill h jusqu h puis ya musiqu liv sinon bb bien sup servic peu lent,Negative,17
tres difficil trouv où gar chambr tres brouill nuit impossibl dorm calm caus restaur spectacl ème etag sercic tres lent,Negative,20
personnel tres agréabl trop bruit restaur boît nuit er eme étag weekend,Negative,12
chaleur convivial emplac tres délicat peut gar facil laccessibil auss tres difficil voitur pend journ,Negative,15
bel établ tres bon accueil tt ok sauf éclairag sdb faibl,Negative,11
accueil tres chaleur chambr propr petitdéjeun copieux rooftop agréabl,Negative,9
tres bon hôtel personnel agréabl propret calm,Negative,7
bel expérient,Negative,2
deux bar cet établ sint formel interdit indigen non privilégi sous prétext drôl fragil jesper quil courag mention clair épargn humili gratuit port,Negative,23
propr,Negative,1
structur clean personnel aimabl seul min laéroport seul souc wif march,Negative,11
superb tre calm gen tre gentil chaleur seulment jai pass heur trouv voitur revien conseil,Negative,15
hôtel symp centr detun contr gar faut aller desserv transport,Negative,10
sup ambianc exelent accueil part recept monsieur mana ayar remerc énorm,Negative,11
jai pass agréabl séjour cet établ mention spécial sawsan sofian amir,Negative,11
loung restaur qualit reviendron l’hôtel,Negative,5
sup accueil personnel tres compet serviabl tres gentil,Negative,8
chambr nikel personel pet soin seul bemol bruit boit nuit sauf fétard vrai aubain,Negative,14
excellent servic lhôtess daccueil rihab souri professionnel,Negative,7
ger lun sky mm pa communiqu client dun façon respect,Negative,10
servic top chambr impecc recommand yeux ferm merc ❤️,Negative,9
tres bon ambianc ok hygien ok bouff ok agent sécur respectu no,Negative,12
tre convivial accueil cadr idyll,Negative,5
tres mauv hôtel conseil fair bon gateau,Negative,7
lieu convivial staff tres accueil,Negative,5
bon séjour malgr musiqu tres fort weekend,Negative,7
top buffet déjeun spécial local excellent,Negative,6
tres cher rapport qualitéprix faut meilleur servic prix là,Negative,9
servic nest tres rapid dur heur fort affluenc,Negative,8
parm meilleur hôtel étoil,Negative,4
parking a lextérieur lhôtel,Negative,4
top top,Negative,2
staff 🥇✅ …,Negative,3
lieu agréabl correct personnel professionnel,Negative,5
excellent buffet servic,Negative,3
lieu chaleur bon restaur,Negative,4
confort pratiqu plein centr vill,Negative,5
symp trop cher,Negative,3
tres beau hôtel,Negative,3
bon hotel,Negative,2
tres bon accueil servic,Negative,4
réception souri serviabl,Negative,3
tres bel coin,Negative,3
lador,Negative,1
no text,Negative,2
endroit tres sympath,Negative,3
lux,Negative,1
bien,Neutral,1
bon ambianc,Neutral,2
excellent,Neutral,1
lieux agréabl,Neutral,2
comm maison,Neutral,2
hôtel vill centr vill,Neutral,4
ambianc intim,Neutral,2
hôtel voyag daffair,Neutral,3
magnif,Neutral,1
🏩🏩🏩🏩🍸🍺🍷🍹🍻🍖🍗🍢🍡🍝🌇🌇 …,Neutral,2
hôtel professionnel,Neutral,2
pai tnd chambr tnd dîn restaur l’hôtel moment départ récept a fait attendr vérifi minibar… alor qu’il conten chos dep tnd …,Neutral,22
lhôtel bien situ plein centr tun quarti montplais proxim lavenu habib bourguib métro chambr propr climatis insonoris plutôt petit restaur espac …,Neutral,22
lhôtel magnif tres propr personnel récept accueil toujour souri chambr peu petit lit tres confort …,Neutral,16
musiqu club réson empêch dorm tout nuit réception arriv désagré a dit asseoir pend quel vérifi passeport fait sattend …,Neutral,20
tant quancien hôteli jai chaleur accueil récept chambr tres propr hasan monsieur sest occup transfert ver sfax sest montr particuli serviabl préven recommand viv cet hôtel,Neutral,26
équip formid sympath tres serviabl omaym réception exceptionnel fait sent comm maison pend séjour …,Neutral,15
business hotel distingu propret qualit servic personnel récept exceptionnel jai accueil mme susan trait plus grand professionnal offert surclass …,Neutral,20
cest tres bel hôtel laccueil récept parf tout personnel attention cest hôtel dun propret irréproch,Neutral,15
début dit ressort maghreb pai tax séjour dev simpl présent docu prouv national marocain moment départ soudain chang …,Neutral,19
chambr peu petit vaut mieux évit chambr pres toit caus bruit bar,Neutral,12
réception tres accueil surtout mohamed serviabl tres sympath suit agréabl prépar pet déjeun heur matin avant vol recommand cet hôtel,Neutral,20
jai ador séjour business hotel latmospher lhôtel relax petitdéjeun délici grand merc omaim mohammed récept tres gentil serviabl merc,Neutral,19
séjourn cet hôtel voyag trois jour vill malheur lexpérient na répondu attent …,Neutral,13
proch laéroport minut voitur gar jy pass nuit cest correct rien spécial …,Neutral,13
plus beau hôtel tun offrant servic exceptionnel prestat luxueux emplac idéal proxim l’aéroport mus bardo médina… chambr propr confort personnel tres aimabl serviabl accueil,Neutral,24
symp propr convivial musiqu disco vrai trop agac,Neutral,8
jai pass séjour global agréabl chambr propr bien entretenu lexcept quelqu …,Neutral,12
bon hôtel conform standard local prix raison personnel tres aimabl nourritur bon fraîch petitdéjeun propos larg choix emplac strateg travailleur …,Neutral,21
chambr tres propr bien situ servic serviabl,Neutral,7
jai séjourn lhôtel samed soir entre deux vol lenregistr a tres rapid sécur lentr professionnel cepend musiqu pubboît nuit insupport pend jet récept …,Neutral,24
avis tatjan mölter a jour googl mar pass jour cet hôtel chambr correct petitdéjeun passabl tout cel import peu puisqu navon ferm lœil …,Neutral,24
cest peutêtr troisiem fois séjourn cet hôtel jai décid partag avis car mérit vrai excellent critiqu jy pass jour long voyag daffair jai ador emplac idéal …,Neutral,27
tout parf,Neutral,2
lemplac lhôtel discut tout comm linsonoris fenêtr don ru cest tout trouv hôtel décor beaucoup goût dun propret exceptionnel personnel incroi …,Neutral,22
lhôtel business lun meilleur jy séjourn septembr souhait partag expérient cet hôtel vrai exceptionnel personnel extrêm aimabl pol chambr impecc …,Neutral,21
cest hôtel raison situ centr vill tunis peux dir cest hôtel lux cest bon option ceux aiment séjourn hôtel prix servic raison,Neutral,22
excellent hôtel nourritur parfait personnel tres sympath disponibl voic quelqu conseil amélior lexpérient réduis bruit proven toit car peut être difficil dorm nuit utilis shampoing aprèsshampoing meilleur qualit,Neutral,28
jai réserv sit lhôtel arriv réserv nav fonction dit sit hor servic depuis trois mois chambr cens être nonfumeur sent fum …,Neutral,22
lhôtel vrai symp chambr propr confort fais vrai chaud climatis fais rien tout a auss bar toit ème étag diffus musiqu fond donc difficil dorm,Neutral,25
félicit jai pass excellent moment personnel tres aimabl serviabl grand merc marw mariam saoussen désol rep plat arriv temp entré plat principal dessert refroid glac not fond préfer prépar deux fois,Neutral,31
meilleur soir tun merc,Neutral,4
magnif hôtel merc mehd narj maryam respons sécur tout personnel cest hôtel vrai éleg personnel extrêm pol courtois petitdéjeun légendair,Neutral,20
cest hôtel fantast tres modern bien situ personnel charm servic impecc petitdéjeun délici dexcellent qualit jy séjourn deux fois premi fois arriv annonc …,Neutral,24
tres bel hôtel malheur trop brui soir caus salon ciel ouvert situ sixiem étag entend musiqu bass puiss jusquau deuxiem étag cest donc hôtel daffair …,Neutral,26
net premi fois lun sky hi soir amis vont assez souvent jai donc loccas accompagn deux fois fois anniversair puisquil chois fêt làb hi soir …,Neutral,26
